Date,Forecast,Lower Bound,Upper Bound
2016-05-25,2283.0574703590432,1486.4585690069534,3079.656371711133
2016-05-26,2283.0574703590432,1486.458568995611,3079.6563717224753
2016-05-27,2283.0574703590432,1486.4585689842684,3079.656371733818
2016-05-28,2283.0574703590432,1486.4585689729258,3079.656371745161
2016-05-29,2283.0574703590432,1486.4585689615833,3079.656371756503
2016-05-30,2283.0574703590432,1486.4585689502408,3079.6563717678455
2016-05-31,2283.0574703590432,1486.4585689388982,3079.6563717791882
2016-06-01,2283.0574703590432,1486.458568927556,3079.6563717905306
2016-06-02,2283.0574703590432,1486.4585689162132,3079.6563718018733
2016-06-03,2283.0574703590432,1486.4585689048708,3079.6563718132156
2016-06-04,2283.0574703590432,1486.458568893528,3079.6563718245584
2016-06-05,2283.0574703590432,1486.4585688821858,3079.6563718359007
2016-06-06,2283.0574703590432,1486.4585688708432,3079.6563718472435
2016-06-07,2283.0574703590432,1486.4585688595007,3079.6563718585858
2016-06-08,2283.0574703590432,1486.4585688481582,3079.656371869928
2016-06-09,2283.0574703590432,1486.4585688368156,3079.656371881271
2016-06-10,2283.0574703590432,1486.458568825473,3079.6563718926136
2016-06-11,2283.0574703590432,1486.4585688141306,3079.656371903956
2016-06-12,2283.0574703590432,1486.4585688027882,3079.656371915298
2016-06-13,2283.0574703590432,1486.4585687914455,3079.656371926641
2016-06-14,2283.0574703590432,1486.4585687801032,3079.6563719379833
2016-06-15,2283.0574703590432,1486.4585687687604,3079.656371949326
2016-06-16,2283.0574703590432,1486.458568757418,3079.6563719606684
2016-06-17,2283.0574703590432,1486.4585687460756,3079.6563719720107
2016-06-18,2283.0574703590432,1486.458568734733,3079.6563719833534
2016-06-19,2283.0574703590432,1486.4585687233905,3079.656371994696
2016-06-20,2283.0574703590432,1486.458568712048,3079.6563720060385
2016-06-21,2283.0574703590432,1486.4585687007057,3079.656372017381
2016-06-22,2283.0574703590432,1486.458568689363,3079.6563720287236
2016-06-23,2283.0574703590432,1486.4585686780206,3079.656372040066
2016-06-24,2283.0574703590432,1486.4585686666778,3079.6563720514087
2016-06-25,2283.0574703590432,1486.4585686553355,3079.656372062751
2016-06-26,2283.0574703590432,1486.458568643993,3079.6563720740933
2016-06-27,2283.0574703590432,1486.4585686326504,3079.656372085436
2016-06-28,2283.0574703590432,1486.458568621308,3079.656372096779
2016-06-29,2283.0574703590432,1486.4585686099654,3079.656372108121
2016-06-30,2283.0574703590432,1486.4585685986228,3079.6563721194634
2016-07-01,2283.0574703590432,1486.4585685872803,3079.656372130806
2016-07-02,2283.0574703590432,1486.458568575938,3079.6563721421485
2016-07-03,2283.0574703590432,1486.4585685645952,3079.6563721534912
2016-07-04,2283.0574703590432,1486.458568553253,3079.6563721648336
2016-07-05,2283.0574703590432,1486.4585685419102,3079.6563721761763
2016-07-06,2283.0574703590432,1486.4585685305678,3079.6563721875186
2016-07-07,2283.0574703590432,1486.4585685192253,3079.6563721988614
2016-07-08,2283.0574703590432,1486.4585685078828,3079.6563722102037
2016-07-09,2283.0574703590432,1486.4585684965402,3079.656372221546
2016-07-10,2283.0574703590432,1486.4585684851977,3079.6563722328888
2016-07-11,2283.0574703590432,1486.4585684738554,3079.656372244231
2016-07-12,2283.0574703590432,1486.4585684625126,3079.656372255574
2016-07-13,2283.0574703590432,1486.4585684511703,3079.656372266916
2016-07-14,2283.0574703590432,1486.4585684398276,3079.656372278259
2016-07-15,2283.0574703590432,1486.4585684284853,3079.656372289601
2016-07-16,2283.0574703590432,1486.4585684171427,3079.656372300944
2016-07-17,2283.0574703590432,1486.4585684058002,3079.6563723122863
2016-07-18,2283.0574703590432,1486.4585683944576,3079.6563723236286
2016-07-19,2283.0574703590432,1486.458568383115,3079.6563723349714
2016-07-20,2283.0574703590432,1486.4585683717726,3079.656372346314
2016-07-21,2283.0574703590432,1486.45856836043,3079.6563723576564
2016-07-22,2283.0574703590432,1486.4585683490877,3079.6563723689987
2016-07-23,2283.0574703590432,1486.458568337745,3079.6563723803415
2016-07-24,2283.0574703590432,1486.4585683264027,3079.656372391684
2016-07-25,2283.0574703590432,1486.45856831506,3079.6563724030266
2016-07-26,2283.0574703590432,1486.4585683037176,3079.656372414369
2016-07-27,2283.0574703590432,1486.458568292375,3079.656372425711
2016-07-28,2283.0574703590432,1486.4585682810325,3079.656372437054
2016-07-29,2283.0574703590432,1486.45856826969,3079.6563724483967
2016-07-30,2283.0574703590432,1486.4585682583474,3079.656372459739
2016-07-31,2283.0574703590432,1486.458568247005,3079.6563724710813
2016-08-01,2283.0574703590432,1486.4585682356624,3079.656372482424
2016-08-02,2283.0574703590432,1486.45856822432,3079.6563724937664
2016-08-03,2283.0574703590432,1486.4585682129773,3079.656372505109
2016-08-04,2283.0574703590432,1486.4585682016348,3079.6563725164515
2016-08-05,2283.0574703590432,1486.4585681902922,3079.6563725277942
2016-08-06,2283.0574703590432,1486.45856817895,3079.6563725391366
2016-08-07,2283.0574703590432,1486.4585681676072,3079.6563725504793
2016-08-08,2283.0574703590432,1486.4585681562648,3079.6563725618216
2016-08-09,2283.0574703590432,1486.458568144922,3079.6563725731644
2016-08-10,2283.0574703590432,1486.4585681335798,3079.6563725845067
2016-08-11,2283.0574703590432,1486.4585681222372,3079.6563725958495
2016-08-12,2283.0574703590432,1486.4585681108947,3079.6563726071918
2016-08-13,2283.0574703590432,1486.4585680995522,3079.656372618534
2016-08-14,2283.0574703590432,1486.4585680882096,3079.656372629877
2016-08-15,2283.0574703590432,1486.458568076867,3079.6563726412196
2016-08-16,2283.0574703590432,1486.4585680655246,3079.656372652562
2016-08-17,2283.0574703590432,1486.4585680541823,3079.656372663904
2016-08-18,2283.0574703590432,1486.4585680428395,3079.656372675247
2016-08-19,2283.0574703590432,1486.4585680314972,3079.6563726865893
2016-08-20,2283.0574703590432,1486.4585680201544,3079.656372697932
2016-08-21,2283.0574703590432,1486.458568008812,3079.6563727092744
2016-08-22,2283.0574703590432,1486.4585679974696,3079.6563727206167
2016-08-23,2283.0574703590432,1486.458567986127,3079.6563727319594
2016-08-24,2283.0574703590432,1486.4585679747845,3079.656372743302
2016-08-25,2283.0574703590432,1486.458567963442,3079.6563727546445
2016-08-26,2283.0574703590432,1486.4585679520997,3079.656372765987
2016-08-27,2283.0574703590432,1486.458567940757,3079.6563727773296
2016-08-28,2283.0574703590432,1486.4585679294146,3079.656372788672
2016-08-29,2283.0574703590432,1486.4585679180718,3079.6563728000147
2016-08-30,2283.0574703590432,1486.4585679067295,3079.656372811357
2016-08-31,2283.0574703590432,1486.4585678953868,3079.6563728226997
2016-09-01,2283.0574703590432,1486.4585678840444,3079.656372834042
2016-09-02,2283.0574703590432,1486.458567872702,3079.656372845385
2016-09-03,2283.0574703590432,1486.4585678613594,3079.656372856727
2016-09-04,2283.0574703590432,1486.4585678500168,3079.6563728680694
2016-09-05,2283.0574703590432,1486.4585678386743,3079.656372879412
2016-09-06,2283.0574703590432,1486.458567827332,3079.6563728907545
2016-09-07,2283.0574703590432,1486.4585678159892,3079.6563729020972
2016-09-08,2283.0574703590432,1486.458567804647,3079.6563729134396
2016-09-09,2283.0574703590432,1486.4585677933042,3079.6563729247823
2016-09-10,2283.0574703590432,1486.4585677819618,3079.6563729361246
2016-09-11,2283.0574703590432,1486.4585677706193,3079.6563729474674
2016-09-12,2283.0574703590432,1486.4585677592768,3079.6563729588097
2016-09-13,2283.0574703590432,1486.4585677479342,3079.656372970152
2016-09-14,2283.0574703590432,1486.4585677365917,3079.6563729814948
2016-09-15,2283.0574703590432,1486.4585677252492,3079.6563729928375
2016-09-16,2283.0574703590432,1486.4585677139066,3079.65637300418
2016-09-17,2283.0574703590432,1486.4585677025643,3079.656373015522
2016-09-18,2283.0574703590432,1486.4585676912216,3079.656373026865
2016-09-19,2283.0574703590432,1486.4585676798793,3079.656373038207
2016-09-20,2283.0574703590432,1486.4585676685365,3079.65637304955
2016-09-21,2283.0574703590432,1486.4585676571942,3079.6563730608923
2016-09-22,2283.0574703590432,1486.4585676458516,3079.6563730722346
2016-09-23,2283.0574703590432,1486.458567634509,3079.6563730835774
2016-09-24,2283.0574703590432,1486.4585676231666,3079.65637309492
2016-09-25,2283.0574703590432,1486.458567611824,3079.6563731062624
2016-09-26,2283.0574703590432,1486.4585676004817,3079.6563731176047
